viallabel,bid,runseq,Ketones,NEFA,Lactate,Glucose,Glycerol,Corticosterone,Glucagon,Insulin,Leptin,Insulin (uU/mL),Insulin (pM),insulin_glucagon_molar_ratio
90659013107,90659,1,366,0.67,1.34,164,1.33,60,37,3559,32872,81.857,613.6,16.6
90590013107,90590,2,265,0.43,1.54,159,0.7,33,43,2626,27074,60.398,452.8,10.5
90716013107,90716,3,624,1,1.35,168,2.2,30,72,4005,29908,92.115,690.5,9.6
90622013107,90622,4,457,0.56,1.11,155,1.23,5,61,2985,46083,68.655,514.7,8.4
90614013107,90614,5,356,0.48,1.28,167,1.13,63,37,3608,41315,82.984,622.1,16.8
90596013107,90596,6,273,0.56,1.36,148,1.04,47,82,3633,30479,83.559,626.4,7.6
90657013107,90657,7,169,0.32,1.67,171,0.94,73,26,2795,32654,64.285,481.9,18.5
90602013107,90602,8,478,0.7,1.21,163,1.74,40,55,3489,56192,80.247,601.6,10.9
90714013107,90714,9,462,0.54,1.9,159,1.15,24,67,2631,37772,60.513,453.6,6.8
90615013107,90615,10,490,0.58,1.12,155,1.27,46,52,3449,40024,79.327,594.7,11.4
90624013107,90624,11,241,0.34,1.66,192,0.79,48,115,3065,26548,70.495,528.4,4.6
90627013107,90627,12,251,0.4,1.63,170,0.74,17,71,3912,39042,89.976,674.5,9.5
90591013107,90591,13,414,0.49,1.39,157,1.16,18,50,2257,46364,51.911,389.1,7.8
90725013107,90725,14,427,0.48,1.25,157,0.86,37,67,3382,25664,77.786,583.1,8.7
90691013107,90691,15,840,0.91,0.92,160,1.69,30,47,2853,63553,65.619,491.9,10.5
90640013107,90640,16,739,1,1.28,159,1.92,16,105,4614,52508,106.122,795.5,7.6
90721013107,90721,17,827,0.71,1.25,165,1.59,72,21,2434,36625,55.982,419.7,20
90682013107,90682,18,288,0.47,1.5,197,1.13,168,73,4513,47940,103.799,778.1,10.7
90626013107,90626,19,208,0.64,1.53,158,0.93,56,36,2607,29792,59.961,449.5,12.5
90678013107,90678,20,544,0.65,1.23,163,1.23,55,65,2564,29478,58.972,442.1,6.8
90711013107,90711,21,614,0.6,1.1,169,1.29,41,51,2811,29417,64.653,484.7,9.5
90619013107,90619,22,411,0.91,1.39,126,1.85,29,93,3710,68751,85.33,639.7,6.9
90684013107,90684,23,680,0.89,1.07,180,1.96,34,38,4764,46837,109.572,821.4,21.6
90712013107,90712,24,801,1.41,1.27,157,2.39,38,171,3991,35466,91.793,688.1,4
90692013107,90692,25,856,0.82,1.06,183,1.45,93,44,7231,41087,166.313,1246.7,28.3
90690013107,90690,26,527,0.56,1.34,198,1.38,75,58,4891,52489,112.493,843.3,14.5
90739013107,90739,27,895,0.72,1.25,156,1.56,49,52,7800,25525,179.4,1344.8,25.9
90623013107,90623,28,210,0.6,2.09,158,1.07,78,84,2341,35391,53.843,403.6,4.8
90685013107,90685,29,316,0.62,1.95,168,2.41,173,90,3399,29012,78.177,586,6.5
90670013107,90670,30,395,0.58,1.8,183,1.22,64,132,7542,38521,173.466,1300.3,9.9
90698013107,90698,31,318,0.57,1.83,205,1.12,158,29,5349,44719,123.027,922.2,31.8
90715013107,90715,32,401,0.35,1.07,137,0.88,,,,,,,
90699013107,90699,33,585,0.66,1.14,185,1.14,46,43,3903,34512,89.769,672.9,15.6
90701013107,90701,34,512,0.58,1.42,184,1.06,70,52,5488,44454,126.224,946.2,18.2
90604013107,90604,35,215,0.6,1.82,175,0.79,53,25,3799,16430,87.377,655,26.2
90729013107,90729,36,835,0.92,1.35,156,1.93,24,61,2400,37624,55.2,413.8,6.8
90629013107,90629,37,326,0.82,1.65,176,1.39,22,72,3429,36813,78.867,591.2,8.2
90728013107,90728,38,742,0.66,1.1,163,1.32,26,30,3021,24574,69.483,520.9,17.4
90708013107,90708,39,532,0.85,1.36,175,1.89,12,25,3220,45086,74.06,555.2,22.2
90727013107,90727,40,953,1.1,1.11,145,1.78,64,89,4105,27907,94.415,707.8,8
90710013107,90710,41,648,0.77,1.16,174,1.56,5,152,3621,35734,83.283,624.3,4.1
90734013107,90734,42,662,0.83,1.25,161,2.02,5,69,3074,29812,70.702,530,7.7
90686013107,90686,43,403,0.63,1.9,172,1.81,40,40,5131,58305,118.013,884.7,22.1
90656013107,90656,44,575,0.5,1.06,173,1.06,55,33,4347,27383,99.981,749.5,22.7
90707013107,90707,45,338,0.67,1.49,195,1.39,64,17,3875,39308,89.125,668.1,39.3
90689013107,90689,46,548,0.62,1.34,169,0.91,73,52,3010,44345,69.23,519,10
90662013107,90662,47,248,0.32,1.43,178,0.8,51,98,4268,22021,98.164,735.9,7.5
90674013107,90674,48,213,1.24,1.86,158,1.54,56,65,5856,59424,134.688,1009.7,15.5
90597013107,90597,49,453,0.82,1.22,170,1.66,76,32,3941,58538,90.643,679.5,21.2
90612013107,90612,50,464,0.65,1.13,161,1.31,65,40,2413,35106,55.499,416,10.4
90696013107,90696,51,910,0.73,0.97,189,1.49,75,62,3511,31515,80.753,605.3,9.8
90718013107,90718,52,516,0.6,1.68,167,1.36,3,58,3319,22206,76.337,572.2,9.9
90625013107,90625,53,189,0.94,1.91,163,1.97,15,61,3812,40523,87.676,657.2,10.8
90672013107,90672,54,681,0.93,1.27,193,2.04,25,118,3222,26771,74.106,555.5,4.7
90605013107,90605,55,331,0.58,1.48,174,1.23,23,25,2785,29757,64.055,480.2,19.2
90688013107,90688,56,513,0.89,1.29,181,1.45,65,55,4560,49047,104.88,786.2,14.3
90730013107,90730,57,654,0.9,1.3,157,1.95,28,73,3243,27293,74.589,559.1,7.7
90647013107,90647,58,606,0.52,1.32,168,1.48,86,55,2913,29230,66.999,502.2,9.1
90654013107,90654,59,323,0.59,1.41,171,1.12,47,59,5622,24413,129.306,969.3,16.4
90632013107,90632,60,667,0.98,1.17,161,1.81,12,109,2913,35882,66.999,502.2,4.6
